Enrollment_ids,Course_name,enrollment_year,Final_grade,Hours_studied
ENR-1857,SQL Basics,2023,D,22.57
ENR-5385,Statistics 101,2024,A,35.04
ENR-2428,SQL Basics,2024,B,36.67
ENR-7672,Python for Beginners,2027,B,29.82
ENR-5367,Tableau Fundamentals,2024,A,27.22
ENR-2764,SQL Basics,2022,D,29.67
ENR-1625,Tableau Fundamentals,2027,B,26.24
ENR-7211,Python for Beginners,2022,D,21.73
ENR-9785,Python for Beginners,2023,F,22.61
ENR-6442,Intro to Analytics,2025,F,24.11
ENR-6583,Python for Beginners,2025,B,30.61
ENR-1850,Python for Beginners,2025,F,36.8
ENR-3615,Intro to Analytics,2023,F,24.98
ENR-3212,Intro to Analytics,2025,D,30.71
ENR-6524,Python for Beginners,2023,F,28.36
ENR-6468,Tableau Fundamentals,2024,D,37.15
ENR-5016,Statistics 101,2026,A,18.2
ENR-3683,Intro to Analytics,2027,F,42.0
ENR-1027,Intro to Analytics,2023,F,26.81
ENR-8147,Statistics 101,2022,F,28.51
ENR-2435,Python for Beginners,2023,F,22.66
ENR-7186,Tableau Fundamentals,2026,A,32.81
ENR-2144,SQL Basics,2024,A,22.04
ENR-1108,Statistics 101,2022,B,34.26
ENR-6168,SQL Basics,2027,A,30.92
ENR-8345,Statistics 101,2023,A,34.48
ENR-2671,Intro to Analytics,2024,F,34.97
ENR-1719,Intro to Analytics,2026,C,35.75
ENR-2519,Python for Beginners,2026,C,29.3
ENR-3329,Tableau Fundamentals,2026,A,27.38
ENR-3068,Statistics 101,2025,B,24.67
ENR-1347,Statistics 101,2025,A,30.93
ENR-5780,Statistics 101,2023,C,21.01
ENR-8055,Python for Beginners,2026,F,33.81
ENR-8813,Tableau Fundamentals,2027,F,30.22
ENR-5347,SQL Basics,2022,B,31.42
ENR-8688,Python for Beginners,2027,C,23.58
ENR-1602,Statistics 101,2026,D,38.41
ENR-5998,Intro to Analytics,2027,B,27.01
ENR-6627,Tableau Fundamentals,2022,F,37.41
ENR-9547,SQL Basics,2022,D,29.51
ENR-8912,Intro to Analytics,2022,B,23.64
ENR-4389,Tableau Fundamentals,2023,B,19.27
ENR-9635,SQL Basics,2022,A,38.22
ENR-6165,SQL Basics,2026,B,25.91
ENR-1205,SQL Basics,2025,D,22.18
ENR-7524,SQL Basics,2024,B,32.24
ENR-9400,Statistics 101,2027,A,34.99
ENR-8116,Tableau Fundamentals,2026,B,29.84
ENR-9823,Tableau Fundamentals,2027,C,33.09
ENR-8964,Statistics 101,2022,C,31.28
ENR-9529,Statistics 101,2023,C,31.66
ENR-7873,Tableau Fundamentals,2024,B,34.42
ENR-7136,SQL Basics,2024,D,26.05
ENR-9356,Intro to Analytics,2024,C,27.57
ENR-1521,Statistics 101,2024,D,35.33
ENR-3973,Tableau Fundamentals,2025,B,28.12
ENR-2353,Python for Beginners,2024,B,39.29
ENR-8977,Tableau Fundamentals,2023,D,27.02
ENR-5290,SQL Basics,2022,D,30.95
ENR-3787,Python for Beginners,2026,C,30.98
ENR-6487,SQL Basics,2023,F,28.97
ENR-6520,Statistics 101,2027,A,31.55
ENR-7409,Intro to Analytics,2027,D,21.23
ENR-2200,Python for Beginners,2023,C,30.63
ENR-8483,Statistics 101,2024,D,26.01
ENR-7351,SQL Basics,2022,C,22.93
ENR-6506,Python for Beginners,2025,C,24.65
ENR-1267,Python for Beginners,2023,D,23.62
ENR-4097,Tableau Fundamentals,2025,B,36.75
ENR-2444,Statistics 101,2027,D,34.25
ENR-6955,Python for Beginners,2025,B,37.14
ENR-1210,Intro to Analytics,2027,D,28.96
ENR-6765,Intro to Analytics,2025,D,29.38
ENR-4754,Tableau Fundamentals,2027,D,29.59
ENR-7647,Python for Beginners,2023,D,29.99
ENR-9716,Tableau Fundamentals,2027,A,28.42
ENR-9208,Tableau Fundamentals,2023,A,33.83
ENR-1978,Tableau Fundamentals,2023,F,22.71
ENR-5713,Python for Beginners,2025,F,35.63
ENR-9106,Python for Beginners,2027,A,31.62
ENR-4823,SQL Basics,2023,A,32.75
ENR-9915,Tableau Fundamentals,2023,F,31.39
ENR-8926,Tableau Fundamentals,2027,B,27.27
ENR-3909,Tableau Fundamentals,2027,C,30.55
ENR-3519,Tableau Fundamentals,2024,B,35.14
ENR-9788,Intro to Analytics,2027,F,29.86
ENR-8282,Python for Beginners,2023,B,32.18
ENR-7202,Tableau Fundamentals,2027,D,30.08
ENR-8557,Python for Beginners,2022,F,27.15
ENR-1723,Statistics 101,2022,C,42.95
ENR-1166,Tableau Fundamentals,2026,C,33.56
ENR-3207,Python for Beginners,2024,F,27.77
ENR-8476,SQL Basics,2025,D,35.05
ENR-4165,Tableau Fundamentals,2022,A,29.04
ENR-1344,Statistics 101,2026,D,33.97
ENR-5200,Tableau Fundamentals,2024,D,22.67
ENR-6767,Python for Beginners,2024,C,21.73
ENR-5455,Intro to Analytics,2027,B,29.59
ENR-8115,Intro to Analytics,2023,B,25.23
