region,month,revenue
Northeast,1,532914.57
Northeast,2,516405.13
Northeast,3,536839.9
Northeast,4,559598.78
Northeast,5,513912.01
Northeast,6,513912.44
Northeast,7,561059.53
Northeast,8,539953.3
Northeast,9,507793.67
Northeast,10,534106.56
Northeast,11,507951.14
Northeast,12,507891.03
Southeast,1,485807.09
Southeast,2,434081.27
Southeast,3,438601.97
Southeast,4,466505.1
Southeast,5,455692.05
Southeast,6,487541.94
Southeast,7,353201.55
Southeast,8,343872.38
Southeast,9,397114.5
Southeast,10,365823.14
Southeast,11,371249.27
Southeast,12,343642.16
Midwest,1,496118.24
Midwest,2,512828.53
Midwest,3,480649.66
Midwest,4,519580.3
Midwest,5,494683.71
Midwest,6,502561.81
Midwest,7,494656.48
Midwest,8,557233.09
Midwest,9,509655.82
Midwest,10,483028.37
Midwest,11,530974.9
Midwest,12,478868.49
West,1,596161.48
West,2,532189.73
West,3,550818.51
West,4,595807.41
West,5,611784.76
West,6,595055.36
West,7,586588.38
West,8,581117.44
West,9,546383.6
West,10,568764.6
West,11,576411.16
West,12,621185.11
